experiment_id,dataset,split,category,image_id,resolution,payload_bpp,secret_id,secret_bits,model,model_name,status,exact_recovery,psnr,mse,ssim,ms_ssim,ber,secret_accuracy,lsb_change_percent,pixel_change_percent,channel_change_percent,residual_rms,residual_max,encode_ms,decode_ms,total_ms,error,payload_bits,metric_valid,metric_note
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0053,256,0.013306,fixed_v1,240,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,True,74.4677,0.0023244222005208335,0.999999,0.999998,0.0,100.0,0.2324,0.6973,0.2324,0.048212,1.0,26.558699999895907,40.32029499967393,66.90404400023908,,872,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0053,256,0.018433,fixed_v1,240,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,True,73.1922,0.0031178792317708335,0.999999,0.999998,0.0,100.0,0.3118,0.9354,0.3118,0.055838,1.0,26.947247000407515,40.56535600011557,67.53732000015589,,1208,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0053,256,0.013672,fixed_v1,240,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,True,74.5154,0.0022989908854166665,0.999999,0.999998,0.0,100.0,0.2299,0.6897,0.2299,0.047948,1.0,26.91427299987481,40.71892799993293,67.65575700001136,,896,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0053,256,0.013428,fixed_v1,240,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,True,74.5832,0.0022633870442708335,0.999999,0.999998,0.0,100.0,0.2263,0.679,0.2263,0.047575,1.0,27.460614000119676,41.902537000169104,69.38890699984768,,880,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0053,256,0.019531,fixed_v1,240,ares_hybrid_inn,ARES-Hybrid-INN,ok,True,75.3497,0.0018971761067708333,0.999999,0.999999,0.0,100.0,0.1897,0.5692,0.1897,0.043557,1.0,372.13919899977554,132.80561200008378,508.03085600000486,,1280,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0054,256,0.013306,fixed_v1,240,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,True,75.0462,0.0020345052083333335,0.999999,0.999998,0.0,100.0,0.2035,0.6104,0.2035,0.045105,1.0,21.724834999986342,32.00688100014304,53.749860000152694,,872,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0054,256,0.018433,fixed_v1,240,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,True,73.1011,0.0031840006510416665,0.999998,0.999997,0.0,100.0,0.3184,0.9552,0.3184,0.056427,1.0,20.500723000168364,31.00115100005496,51.51807399988684,,1208,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0054,256,0.013672,fixed_v1,240,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,True,74.411,0.0023549397786458335,0.999999,0.999998,0.0,100.0,0.2355,0.7065,0.2355,0.048528,1.0,20.998438999868085,29.950950000056764,50.965122999969026,,896,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0054,256,0.013428,fixed_v1,240,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,True,74.9178,0.0020955403645833335,0.999999,0.999997,0.0,100.0,0.2096,0.6287,0.2096,0.045777,1.0,20.257525000033638,30.257510999945225,50.53030499993838,,880,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0054,256,0.019531,fixed_v1,240,ares_hybrid_inn,ARES-Hybrid-INN,ok,True,75.432,0.001861572265625,0.999999,0.999998,0.0,100.0,0.1862,0.5585,0.1862,0.043146,1.0,363.4673440001279,174.28726399975858,541.0432889998447,,1280,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0055,256,0.013306,fixed_v1,240,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,True,74.7932,0.0021565755208333335,0.999999,0.999999,0.0,100.0,0.2157,0.647,0.2157,0.046439,1.0,27.714313000160473,43.016802000238386,70.7567059998837,,872,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0055,256,0.018433,fixed_v1,240,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,True,73.2493,0.0030771891276041665,0.999999,0.999998,0.0,100.0,0.3077,0.9232,0.3077,0.055472,1.0,27.59796500004086,40.98662800015518,68.60869999991337,,1208,True,ok
research_20260919_203353,synthetic,test,FINAL_TEST,syn_0055,256,0.013672,fixed_v1,240,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,True,74.4392,0.0023396809895833335,0.999999,0.999998,0.0,100.0,0.234,0.7019,0.234,0.04837,1.0,29.271005999817135,28.64447999991171,57.93325600006938,,896,True,ok
